date,count,fines
2016-10-11,7341,511774.0
2016-10-12,7169,504769.0
2016-10-13,7627,528459.0
2016-10-14,7362,508247.0
2016-10-15,4487,297835.0
2016-10-16,1859,136565.0
2016-10-17,5787,402835.0
2016-10-18,7196,490620.0
2016-10-19,7678,544192.0
2016-10-20,8279,580621.0
2016-10-21,7218,504349.0
2016-10-22,4961,334385.0
2016-10-23,1854,136894.0
2016-10-24,6622,469682.0
2016-10-25,7379,511220.0
2016-10-26,8081,566961.0
2016-10-27,8381,581257.0
2016-10-28,7475,524309.0
2016-10-29,4996,338808.0
2016-10-30,2365,168712.0
2016-10-31,7927,561474.0
2016-11-01,8910,621415.0
2016-11-02,7842,535841.0
2016-11-03,8573,598967.0
2016-11-04,7370,507081.0
2016-11-05,4907,329373.0
2016-11-06,2282,155986.0
2016-11-07,7551,514006.0
2016-11-08,7402,516789.0
2016-11-09,6974,485608.0
2016-11-10,7538,527876.0
2016-11-11,1088,88859.0
2016-11-12,4933,327647.0
2016-11-13,2125,147317.0
2016-11-14,7119,494441.0
2016-11-15,7457,521092.0
2016-11-16,7776,543317.0
2016-11-17,7536,519322.0
2016-11-18,6920,491313.0
2016-11-19,4824,320296.0
2016-11-20,2185,157521.0
2016-11-21,6837,475903.0
2016-11-22,6900,488993.0
2016-11-23,6526,455525.0
2016-11-24,1006,80762.0
2016-11-25,3990,287467.0
2016-11-26,4134,270460.0
2016-11-27,2285,160797.0
2016-11-28,6733,468856.0
2016-11-29,7416,526900.0
2016-11-30,7255,513882.0
2016-12-01,8209,570017.0
2016-12-02,7265,507882.0
2016-12-03,4773,311091.0
2016-12-04,2488,178317.0
2016-12-05,7817,544719.0
2016-12-06,7974,560423.0
2016-12-07,7260,502725.0
2016-12-08,7342,503004.0
2016-12-09,6252,432410.0
2016-12-10,4335,291355.0
2016-12-11,1948,135930.0
2016-12-12,7590,525769.0
2016-12-13,7994,547169.0
2016-12-14,6920,475294.0
2016-12-15,7583,530556.0
2016-12-16,6866,481965.0
2016-12-17,3868,251958.0
2016-12-18,1853,130614.0
2016-12-19,8054,565315.0
2016-12-20,8461,594190.0
2016-12-21,7811,555911.0
2016-12-22,8696,615841.0
2016-12-23,7479,528347.0
2016-12-24,2783,186501.0
2016-12-25,722,54841.0
2016-12-26,902,65842.0
2016-12-27,8798,628120.0
2016-12-28,8270,575186.0
2016-12-29,8798,618638.0
2016-12-30,7846,563399.0
2016-12-31,4223,286514.0
2017-01-01,1115,89597.0
2017-01-02,1344,95120.0
2017-01-03,8109,561499.0
2017-01-04,7035,492626.0
2017-01-05,7916,551958.0
2017-01-06,7233,503291.0
2017-01-07,4859,322526.0
2017-01-08,2348,164853.0
2017-01-09,6604,461129.0
2017-01-10,8087,568679.0
2017-01-11,7204,497610.0
2017-01-12,6939,475990.0
2017-01-13,6980,487743.0
2017-01-14,5042,331857.0
2017-01-15,2112,145003.0
2017-01-16,1375,103496.0
2017-01-17,8229,568554.0
2017-01-18,7312,508432.0
2017-01-19,8201,569749.0
2017-01-20,6128,430177.0
2017-01-21,4409,290820.0
2017-01-22,1224,92387.0
2017-01-23,7612,536797.0
2017-01-24,8431,587617.0
2017-01-25,8127,568836.0
2017-01-26,8511,610899.0
2017-01-27,7610,527967.0
2017-01-28,4806,313829.0
2017-01-29,1952,140405.0
2017-01-30,8542,592484.0
2017-01-31,8678,602688.0
2017-02-01,8203,569165.0
2017-02-02,8767,614284.0
2017-02-03,8016,555867.0
2017-02-04,5149,331746.0
2017-02-05,1822,134810.0
2017-02-06,5865,399407.0
2017-02-07,8843,619045.0
2017-02-08,7993,575396.0
2017-02-09,8682,609160.0
2017-02-10,7806,544453.0
2017-02-11,4867,320448.0
2017-02-12,2251,177654.0
2017-02-13,7584,527541.0
2017-02-14,7388,529739.0
2017-02-15,7339,525202.0
2017-02-16,7699,553588.0
2017-02-17,3665,258807.0
2017-02-18,2934,190673.0
2017-02-19,1865,133186.0
2017-02-20,1157,90419.0
2017-02-21,7746,548209.0
2017-02-22,7080,502571.0
2017-02-23,7011,491784.0
2017-02-24,6763,479759.0
2017-02-25,4104,280061.0
2017-02-26,2304,172428.0
2017-02-27,7656,547332.0
2017-02-28,8194,577668.0
2017-03-01,7651,538057.0
2017-03-02,8659,599642.0
2017-03-03,7902,553759.0
2017-03-04,4720,310276.0
2017-03-05,1931,139358.0
2017-03-06,8272,580184.0
2017-03-07,8701,612482.0
2017-03-08,8423,602411.0
2017-03-09,8619,597035.0
2017-03-10,7551,531119.0
2017-03-11,4688,310073.0
2017-03-12,2142,158829.0
2017-03-13,8592,606609.0
2017-03-14,9060,643624.0
2017-03-15,8180,575412.0
2017-03-16,8409,586908.0
2017-03-17,7613,531045.0
2017-03-18,4776,312822.0
2017-03-19,2372,175038.0
2017-03-20,8378,589705.0
2017-03-21,8580,601740.0
2017-03-22,8393,593387.0
2017-03-23,8220,584832.0
2017-03-24,7579,524004.0
2017-03-25,4257,282658.0
2017-03-26,2313,169588.0
2017-03-27,2540,176880.0
2017-03-28,8188,578184.0
2017-03-29,7595,538161.0
2017-03-30,8066,562712.0
2017-03-31,7893,560780.0
2017-04-01,4839,317677.0
2017-04-02,2131,152273.0
2017-04-03,7967,557184.0
2017-04-04,8507,591832.0
2017-04-05,8054,565187.0
2017-04-06,8970,632665.0
2017-04-07,8082,567040.0
2017-04-08,4717,320250.0
2017-04-09,2479,176587.0
2017-04-10,7960,560345.0
2017-04-11,7856,550865.0
2017-04-12,7289,514134.0
2017-04-13,8822,624054.0
2017-04-14,7940,564596.0
2017-04-15,4499,307629.0
2017-04-16,2076,150593.0
2017-04-17,6869,484633.0
2017-04-18,7776,551235.0
2017-04-19,8175,577811.0
2017-04-20,8526,609482.0
2017-04-21,7451,525799.0
2017-04-22,4547,301267.0
2017-04-23,2295,166148.0
2017-04-24,7983,569887.0
2017-04-25,8187,573835.0
2017-04-26,8009,565287.0
2017-04-27,8362,611942.0
2017-04-28,6948,489420.0
2017-04-29,4063,278011.0
2017-04-30,2200,155756.0
2017-05-01,8053,569360.0
2017-05-02,8385,589999.0
2017-05-03,7835,549425.0
2017-05-04,7828,555019.0
2017-05-05,7437,521761.0
2017-05-06,4701,319628.0
2017-05-07,2020,144248.0
2017-05-08,7616,536849.0
2017-05-09,8753,608579.0
2017-05-10,8182,588594.0
2017-05-11,8061,574690.0
2017-05-12,7592,538451.0
2017-05-13,4339,286390.0
2017-05-14,1964,141271.0
2017-05-15,8018,558758.0
2017-05-16,8485,591386.0
2017-05-17,8313,589495.0
2017-05-18,8460,599465.0
2017-05-19,7386,516321.0
2017-05-20,4441,301813.0
2017-05-21,2087,152196.0
2017-05-22,7601,532078.0
2017-05-23,7734,542445.0
2017-05-24,7275,512962.0
2017-05-25,8407,596811.0
2017-05-26,7509,531070.0
2017-05-27,4534,305613.0
2017-05-28,2257,166634.0
2017-05-29,1497,115932.0
2017-05-30,8413,593009.0
2017-05-31,7257,522708.0
2017-06-01,7284,507301.0
2017-06-02,7179,505706.0
2017-06-03,4217,284147.0
2017-06-04,2285,165476.0
2017-06-05,8210,571600.0
2017-06-06,8641,612146.0
2017-06-07,7851,567357.0
2017-06-08,8187,580025.0
2017-06-09,6929,485809.0
2017-06-10,4083,276377.0
2017-06-11,2110,159553.0
2017-06-12,7790,546009.0
2017-06-13,7847,552292.0
2017-06-14,7751,551054.0
2017-06-15,7659,549403.0
2017-06-16,7028,494475.0
2017-06-17,4208,279938.0
2017-06-18,2196,160179.0
2017-06-19,7210,518077.0
2017-06-20,8051,568792.0
2017-06-21,6959,507894.0
2017-06-22,8006,577455.0
2017-06-23,6819,481810.0
2017-06-24,4175,279441.0
2017-06-25,2553,185092.0
2017-06-26,7245,519459.0
2017-06-27,7586,544904.0
2017-06-28,7366,521921.0
2017-06-29,8277,594600.0
2017-06-30,7466,527247.0
2017-07-01,4723,315581.0
2017-07-02,2099,149817.0
2017-07-03,9069,656276.0
2017-07-04,1445,116091.0
2017-07-05,8498,616143.0
2017-07-06,7931,569755.0
2017-07-07,7128,506219.0
2017-07-08,3993,272789.0
2017-07-09,2271,163026.0
2017-07-10,7333,528491.0
2017-07-11,7816,558610.0
2017-07-12,7583,536389.0
