Route No,Council District,Time Start,Time End,Boundaries
18P408 W,7,10:00 AM,12:00 PM,Mount Gleason Av. to Woodward Av. / Ellenbogen St. Foothill Bl.
18P409 Th,7,12:00 PM,2:00 PM,Woodward Av. to McVine Av. / Ellenbogen St. to Foothill Bl.
18P409 W,7,12:00 PM,2:00 PM,Woodward Av. to McVine Av. / Ellenbogen St. to Foothill Bl.
19NP300,7,4:00 AM,6:30 AM,Eldridge St. / Hubbard St. to Harding St.
19P362 M,7,12:00 PM,2:00 PM,San Fernando Mission Bl. to Paxton St. / 5 Fwy to Columbus Av.
19P362 Tu,7,12:00 PM,2:00 PM,San Fernando Mission Bl. to Paxton St. / 5 Fwy to Columbus Av.
19P363 Th,7,8:00 AM,10:00 AM,Bledsoe St. to Osbourne St. / Laurel Cyn Bl. to Foothill Bl.
19P363 W,7,8:00 AM,10:00 AM,Bledsoe St. to Osbourne St. / Laurel Cyn Bl. to Foothill Bl.
19P400 Th,7,8:00 AM,10:00 AM,Astoria St. to Rinaldi St. / San Fernando Rd. 405 Fwy
19P400 W,7,8:00 AM,10:00 AM,Astoria St. to Rinaldi St. / San Fernando Rd. 405 Fwy
19P402 Th,7,10:00 AM,12:00 PM,Roxford St. to Oro Grande / San Fernando Rd. to Encinitas Av.
19P402 W,7,10:00 AM,12:00 PM,Roxford St. to Oro Grande / San Fernando Rd. to Encinitas Av.
19P406 Th,7,8:00 AM,10:00 AM,Dronfield Av. Glenoaks Bl. / Hubbard St. to Tyler St.
19P406 W,7,8:00 AM,10:00 AM,Dronfield Av. Glenoaks Bl. / Hubbard St. to Tyler St.
19P408 Th,7,10:00 AM,12:00 PM,Hubbard St. to Pacoima Wash / Eldridge Av. to City Line
19P408 W,7,10:00 AM,12:00 PM,Hubbard St. to Pacoima Wash / Eldridge Av. to City Line
19P410 M,6,12:00 PM,2:00 PM,Terra Bella St. to Osborne St. / 5 Fwy. To Woodman Av.
19P410 Tu,6,12:00 PM,2:00 PM,Terra Bella St. to Osborne St. / 5 Fwy. To Woodman Av.
19P412 M,6,10:00 AM,12:00 PM,5 Fwy. To Woodman Av. / Terra Bella St. to Filmore St.
19P412 Tu,6,10:00 AM,12:00 PM,5 Fwy. To Woodman Av. / Terra Bella St. to Filmore St.
19P418 M,5,8:00 AM,10:00 AM,San Fernando Rd. to 5 Fwy. / Van Nuys Bl. Paxton St.
19P418 Tu,5,8:00 AM,10:00 AM,San Fernando Rd. to 5 Fwy. / Van Nuys Bl. Paxton St.
19P420 M,7,8:00 AM,10:00 AM,Fox St. to 118 Fwy / San Fernando Rd. to 5 Fwy.
19P420 Tu,7,8:00 AM,10:00 AM,Fox St. to 118 Fwy / San Fernando Rd. to 5 Fwy.
19P422 M,7,10:00 AM,12:00 PM,Brand Bl. to Chamberlain St. / O'Melveny Av. to 5 Fwy
19P422 Tu,7,10:00 AM,12:00 PM,Brand Bl. to Chamberlain St. / O'Melveny Av. to 5 Fwy
19P424 Th,7,12:00 PM,2:00 PM,Van Nuys Bl. to Osborne St. / Foothill Bl. to San Fernando Rd.
19P424 W,7,12:00 PM,2:00 PM,Van Nuys Bl. to Osborne St. / Foothill Bl. to San Fernando Rd.
19P426 Th,7,10:00 AM,12:00 PM,118 Fwy to Van Nuys Bl. / Foothill Bl. to San Fernando Rd.
19P426 W,7,10:00 AM,12:00 PM,118 Fwy to Van Nuys Bl. / Foothill Bl. to San Fernando Rd.
19P428 Th,7,8:00 AM,10:00 AM,LA city line to Paxton St. / Foothill Bl. to San Fernando Rd.
19P428 W,7,8:00 AM,10:00 AM,LA city line to Paxton St. / Foothill Bl. to San Fernando Rd.
19P430 Th,7,12:00 PM,2:00 PM,Gladstone Av. to Simshaw Av. / Hubbard St. to Sayre St.
19P430 W,7,12:00 PM,2:00 PM,Gladstone Av. to Simshaw Av. / Hubbard St. to Sayre St.
1NP350 Th,15,4:00 AM,6:30 AM,PCH to 22nd st-Gaffey St to Avalon BL
1NP350 W,15,4:00 AM,6:30 AM,PCH to 22nd st-Gaffey St to Avalon BL
1NP351 Th,15,4:00 AM,6:30 AM,Gaffey St from Oliver St to 19th st
1NP351 W,15,4:00 AM,6:30 AM,Gaffey St from Oliver St to 19th st
1P207 M,15,8:00 AM,10:00 AM,10th st to 22nd st PCH to Gaffey St
1P207 Tu,15,8:00 AM,10:00 AM,10th st to 22nd st PCH to Gaffey St
1P208 M,15,9:00 AM,11:00 AM,8th st to 22nd st Beacon St to Pacific Ave
1P208 Tu,15,9:00 AM,11:00 AM,8th st to 22nd st Beacon St to Pacific Ave
1P212 M,15,9:00 AM,12:00 PM,Wilmington Bl to Avalon Bl- PCH  to Anahiem St
1P212 Tu,15,9:00 AM,12:00 PM,Wilmington Bl to Avalon Bl- PCH  to Anahiem St
1P216 Th,15,12:00 PM,2:00 PM,Belle Porte Ave to Vermont Ave- lomita Bl to PCH
1P216 W,15,12:00 PM,2:00 PM,Belle Porte Ave to Vermont Ave- lomita Bl to PCH
1P363 M,15,12:00 PM,2:00 PM,Sandison St to PCH- Drumm Ave  D/E W/O Sanford Ave
1P363 Tu,15,12:00 PM,2:00 PM,Sandison St to PCH- Drumm Ave  D/E W/O Sanford Ave
1P364 M,15,10:00 AM,12:00 PM,Carson City Line to Harry Bridge Bl- Avalon Bl to Figueroa Pl
1P364 Tu,15,10:00 AM,12:00 PM,Carson City Line to Harry Bridge Bl- Avalon Bl to Figueroa Pl
