SpaceID,BlockFace,MeterType,RateType,RateRange,MeteredTimeLimit,ParkingPolicy,StreetCleaning,LatLng
SO110,14400 VENTURA BL,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.150442, -118.446408)"
L259,401 LARCHMONT BL,Single-Space,FLAT,$1.00,2HR,8A-6P Mon-Sat,,"(34.078701, -118.323773)"
VW619,501 SHATTO PL,Single-Space,FLAT,$1.00,2HR,8A-6P Mon-Sat,,"(34.064758, -118.290017)"
SO1177,4700 SEPULVEDA BL,Single-Space,JUMP,$1\hr - $4\10hr,10HR,8A-6P Mon-Sat,8A-10A Fri,"(34.156757, -118.466002)"
HO640,6501 HOLLYWOOD BL,Single-Space,TOD,$2 - $3,2HR,"PKG 8A-6P Mon-Sat, 11A-6P Sun | NP 6P-6A Nightly",,"(34.101691, -118.332458)"
OS734,12001 LA GRANGE AV,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.034178, -118.455196)"
R187A,7000 RESEDA BL,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,4A-630A Mon-Fri,"(34.198169, -118.535923)"
SC345,11601 VENTURA BL,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.140969, -118.38648)"
LH59,2301 SICHEL ST,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,10A-12P Wed,"(34.073299, -118.213137)"
SA101,1900 SUNSET BL,Single-Space,FLAT,$1.00,1HR,8A-8P Mon-Sat,,"(34.0778619541, -118.261347611)"
LH139,2400 DALY ST,Single-Space,FLAT,$1.00,1HR,8A-8P Mon-Sat,10A-12P Tue,"(34.074825, -118.215553)"
CP279,7100 OWENSMOUTH AV,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.199828, -118.601464)"
R172,7001 RESEDA BL,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,4A-630A Mon-Fri,"(34.198728, -118.536167)"
SP516,300 7TH ST,Single-Space,FLAT,$0.50,2HR,8A-6P Mon-Sat,4A-630A Thu,"(33.737912, -118.284525)"
OS616,11500 PICO BL,Single-Space,FLAT,$1.00,1HR,8A-6P Mon-Sat,,"(34.03295, -118.442908)"
WW1280,3801 3RD ST,Single-Space,FLAT,$1.00,1HR,8A-6P Mon-Sat,,"(34.069122, -118.298408)"
SO44A,14600 VENTURA BL,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.151418, -118.452316)"
VN871,14400 SYLVAN ST,Single-Space,TOD,$0.5 - $1,2HR,8A-8P Mon-Sat,,"(34.184584, -118.447842)"
CC316,301 N. FIGUEROA ST,Single-Space,TOD,$0.5 - $2,2HR,8A-6P Mon-Fri,,"(34.059658, -118.249246)"
GA175,3200 LOS FELIZ BL,Single-Space,FLAT,$1.00,1HR,8A-8P Mon-Sat,,"(34.123272, -118.268704)"
SV608,1501 LAS PALMAS AV,Single-Space,TOD,$1 - $1.5,2HR,"8A-8P Mon-Sat, 11A-8P Sun",,"(34.098486, -118.336377)"
WA475,600 PARK VIEW ST,Single-Space,FLAT,$1.00,2HR,8A-6P Mon-Sat,12P-3P Thu,"(34.060077, -118.279108)"
CB3124,200 W 6TH ST,Single-Space,TOD,$3 - $6,2HR,"TANS 7A-9A, 3P-7P Mon-Fri | PKG 9A-3P Mon-Fri, 8A-8P Sat",,"(34.046164, -118.251401)"
C1231,900 30TH ST,Single-Space,FLAT,$1.00,4HR,8A-8P Mon-Sat,8A-11A Wed,"(34.026671, -118.282009)"
EN416,17401 VENTURA BL,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.161482, -118.513251)"
WA405,900 ALVARADO ST,Single-Space,FLAT,$1.00,1HR,"TANS 4P-7P Mon-Fri | PKG 8A-4P Mon-Fri, 8A-8P Sat",,"(34.052799, -118.279042)"
VN1032,14401 HAMLIN ST,Single-Space,TOD,$0.5 - $1,2HR,8A-8P Mon-Sat,10A-12P Tue,"(34.188749, -118.447138)"
SC496,11201 VENTURA BL,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.141729, -118.375087)"
WF87,100 KINGS RD,Single-Space,FLAT,$1.00,2HR,"8A-8P Mon-Sat, 11A-8P Sun",,"(34.073168, -118.372046)"
WSV210,11900 WILSHIRE BL,Single-Space,FLAT,$1.00,1HR,"TANS 7A-9A, 4P-7P Mon-Fri | PKG 9A-4P Mon-Fri, 8A-8P Sat",,"(34.045315, -118.465799)"
CB3997,100 E 16TH ST,Single-Space,TOD,$0.5 - $1,2HR,TANS 4P-6P Mon-Fri | PKG 8A-4P Mon-Sat,,"(34.033121, -118.261839)"
SP655,500 MESA ST,Single-Space,FLAT,$0.50,2HR,8A-6P Mon-Sat,,"(33.739214, -118.285631)"
BW75,151 BARRINGTON PL,Single-Space,FLAT,$2.00,1HR,8A-6P Mon-Sat,,"(34.0654, -118.468974)"
WA471,600 PARK VIEW ST,Single-Space,FLAT,$1.00,2HR,8A-6P Mon-Sat,12P-3P Thu,"(34.059961, -118.279183)"
VW1607,1200 CATALINA ST,Single-Space,FLAT,$1.00,2HR,8A-6P Mon-Sat,12P-3P Thu,"(34.047571, -118.294674)"
R245,7101 DARBY AV,Single-Space,FLAT,$1.00,1HR,8A-8P Mon-Sat,,"(34.200679, -118.533574)"
CB749,900 S SANTEE ST,Single-Space,TOD,$2 - $4,2HR,"8A-6P Mon-Sat, 11A-6P Sun",,"(34.039029, -118.254662)"
BW97,100 BARRINGTON PL,Single-Space,FLAT,$2.00,1HR,8A-6P Mon-Sat,,"(34.066668, -118.469334)"
LC112,701 LA CIENEGA BL,Single-Space,FLAT,$1.00,2HR,"8A-8P Mon-Sat, 11A-8P Sun",,"(34.084439, -118.376596)"
PR568,5801 PICO BL,Single-Space,FLAT,$1.00,1HR,8A-6P Mon-Sat,,"(34.051782, -118.367537)"
WW2258,2800 PICO BL,Single-Space,FLAT,$1.00,1HR,TANS 7A-9A Mon-Fri | PKG 9A-6P Mon-Sat,,"(34.047139, -118.301802)"
SL355,3901 FOUNTAIN AV,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,10A-12P Fri,"(34.095871, -118.277726)"
SL406,3200 SUNSET BL,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.085543, -118.275031)"
PW138,2200 WESTWOOD BL,Single-Space,FLAT,$1.00,2HR,"TANS 7A-9A, 4P-7P Mon-Fri | PKG 9A-4P Mon-Sat",,"(34.042832, -118.430703)"
SW275,5601 MELROSE AV,Single-Space,FLAT,$1.00,1HR,"TANS 7A-9A, 3P-7P Mon-Fri | PKG 9A-3P Mon-Sat",,"(34.08357, -118.322952)"
NH342,5401 LANKERSHIM BL,Single-Space,FLAT,$1.00,2HR,8A-6P Mon-Sat,,"(34.169356, -118.377447)"
LM506,7301 BEVERLY BL,Single-Space,FLAT,$1.00,1HR,"8A-8P Mon-Sat, 11A-8P Sun",,"(34.07625, -118.35063)"
WW543,651 KINGSLEY DR,Single-Space,FLAT,$1.00,2HR,8A-6P Mon-Sat,10A-1P Wed,"(34.060105, -118.303154)"
BF316,7901 MELROSE AV,Single-Space,FLAT,$1.00,2HR,"8A-8P Mon-Sat, 11A-8P Sun",,"(34.083884, -118.363124)"
P288,16600 MARQUEZ AV,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.048051, -118.544368)"
ED344,901 E PICO BLVD,Single-Space,FLAT,$0.50,2HR,8A-6P Mon-Sat,,"(34.030934, -118.249582)"
WA1467,1700 PICO BL,Single-Space,FLAT,$1.00,1HR,"PLO 630A-9A, 130P-4P Mon-Fri | PKG 9A-130P, 4P-6P Mon-Fri, 9A-6P Sat",,"(34.045369, -118.278745)"
WW1204,3801 6TH ST,Single-Space,FLAT,$1.00,1HR,"TANS 7A-9A, 4P-7P Mon-Fri | PKG 9A-4P Mon-Sat",,"(34.063612, -118.306958)"
PR664,6000 PICO BL,Single-Space,FLAT,$1.00,1HR,8A-6P Mon-Sat,,"(34.05268, -118.373287)"
VM213,8501 VERMONT AV,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(33.960579, -118.291815)"
CB674,401 E. OLYMPIC BL,Single-Space,TOD,$0.5 - $6,2HR,"8A-6P Mon-Sat, 11A-6P Sun",,"(34.038174, -118.253703)"
WSV227,11900 WILSHIRE BL,Single-Space,FLAT,$1.00,1HR,"TANS 7A-9A, 4P-7P Mon-Fri | PKG 9A-4P Mon-Fri, 8A-8P Sat",,"(34.046434, -118.464419)"
NH1037,4501 RIVERTON AV,Single-Space,FLAT,$1.00,4HR,8A-6P Mon-Sat,,"(34.152638, -118.366028)"
PW427,11000 PICO BL,Single-Space,FLAT,$1.00,2HR,"TANS 7A-9A, 4P-7P Mon-Fri | PKG 9A-4P Mon-Sat",,"(34.037649, -118.433449)"
WSV276,1201 BARRINGTON AV,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,10A-12P Thu,"(34.048822, -118.460555)"
SP83,500 7TH ST,Single-Space,FLAT,$0.50,2HR,8A-6P Mon-Sat,4A-630A Thu,"(33.737926, -118.288725)"
CT485,601 COLLEGE ST,Single-Space,FLAT,$0.50,4HR,"TANS 7A-9A, 4P-6P Mon-Fri | PKG 9A-4P Mon-Fri, 6P-8P Mon-Thu, 8A-8P Sat",10A-12P Fri,"(34.065096, -118.240376)"
CB659A,901 WALL ST,Single-Space,TOD,$1.5 - $4,2HR,8A-6P Mon-Sat,,"(34.038589, -118.252153)"
WU1167B,1101 8TH ST,Single-Space,FLAT,$1.00,2HR,8A-6P Mon-Sat,,"(34.049792, -118.26641)"
CP218,7201 OWENSMOUTH AV,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,8A-10A Mon,"(34.20266, -118.601679)"
SS374,11500 SANTA MONICA BL,Single-Space,FLAT,$1.00,1HR,"TANS 7A-9A, 4P-7P Mon-Fri | PKG 9A-4P Mon-Fri, 8A-8P Sat",,"(34.044924, -118.453114)"
OS246,2000 SAWTELLE BL,Single-Space,FLAT,$1.00,1HR,8A-8P Mon-Sat,8A-10A Thu,"(34.039824, -118.442579)"
W159,9701 S VICKSBURG AV,Single-Space,FLAT,$1.00,2HR,8A-12A Daily,12P-230P Thu,"(33.947742, -118.393999)"
WA1437A,1900 PICO BL,Single-Space,FLAT,$1.00,1HR,TANS 7A-9A Mon-Fri | PKG 9A-6P Mon-Sat,,"(34.046455, -118.281146)"
SO685,5001 VAN NUYS BL,Single-Space,FLAT,$1.00,2HR,8A-8P Mon-Sat,,"(34.161734, -118.448828)"
WU445,600 WITMER ST,Single-Space,FLAT,$1.00,2HR,8A-6P Mon-Sat,12P-3P Fri,"(34.053475, -118.266788)"
VN1169,6800 VAN NUYS BL,Single-Space,FLAT,$1.00,2HR,8A-6P Mon-Sat,,"(34.196118, -118.448545)"
CB528,401 E PICO BLVD,Single-Space,TOD,$1.5 - $2,2HR,8A-6P Mon-Sat,,"(34.034201, -118.256446)"
WA594,601 PARK VIEW ST,Single-Space,FLAT,$1.00,2HR,8A-6P Mon-Sat,12P-3P Fri,"(34.060056, -118.279375)"
VW1697,1301 NEW HAMPSHIRE AV,Single-Space,FLAT,$1.00,2HR,8A-6P Mon-Sat,8A-10A Thu,"(34.047032, -118.292491)"
VN709,14300 SYLVAN ST,Single-Space,FLAT,$1.00,2HR,8A-6P Mon-Sat,,"(34.184591, -118.445597)"
BF145A,7801 ROSEWOOD AV,Single-Space,FLAT,$1.00,2HR,"8A-8P Mon-Sat, 11A-8P Sun",10A-12P Mon,"(34.080245, -118.360345)"
HW463,5700 HOLLYWOOD BL,Single-Space,FLAT,$1.00,1HR,8A-8P Mon-Sat,,"(34.101617, -118.314421)"
